State,Office.Level,Body.Name,Body_Represents_State,Body_Represents_County,Body_Represents_Muni,Office.Name,Official.Name,Official.Party,locality,votes
VA,County,Halifax County School Board,VA,Halifax County,,Member School Board (DISTRICT 7),"R. K. ""Dick"" Stoneman",,Halifax County,951
VA,County,Floyd County School Board,VA,Floyd County,,Member School Board (DISTRICT A),"Maria C. ""Faye"" Nichols",,Floyd County,681
VA,County,,VA,King & Queen County,,Commissioner of Revenue (KING & QUEEN COUNTY),Kelly Norman Lumpkin,,King & Queen County,1326
VA,County,Montgomery County School Board,VA,Montgomery County,,Member School Board (DISTRICT G),Mark F. Cherbaka,,Montgomery County,1075
VA,County,Albemarle County School Board,VA,Albemarle County,,Member School Board (SCOTTSVILLE DISTRICT),Stephen H. Koleszar,,Albemarle County,2575
VA,County,,VA,Essex County,,Soil and Water Conservation Director Three Rivers District (ESSEX COUNTY),"Raymond S. ""Ray"" Thomas",,Essex County,1267
VA,County,Caroline County Board of Supervisors,VA,Caroline County,,Member Board of Supervisors (BOWLING GREEN DISTRICT),"Jeffery M. ""Jeff"" Sili",,Caroline County,822
VA,County,Dinwiddie County School Board,VA,Dinwiddie County,,Member School Board (DISTRICT 4),Mary Benjamin,,Dinwiddie County,708
VA,County,Northampton County Board of Supervisors,VA,Northampton County,,Member Board of Supervisors (DISTRICT 5),Robert Grayson Duer,,Northampton County,519
VA,County,Sussex County Board of Supervisors,VA,Sussex County,,Member Board of Supervisors (HENRY DISTRICT),Rufus E. Tyler ,,Sussex County,312
VA,County,,VA,Prince George County,,Treasurer (PRINCE GEORGE COUNTY),Jean N. Barker,,Prince George County,4052
VA,County,,VA,Rockbridge County,,Sheriff (LEXINGTON CITY-ROCKBRIDGE COUNTY),Chris J. Blalock,,Rockbridge County,5035
VA,County,,VA,Buckingham County,,Treasurer (BUCKINGHAM COUNTY),Christy Love Christian,,Buckingham County,2315
VA,County,,VA,Alleghany County,,Soil and Water Conservation Director Mountain District (ALLEGHANY COUNTY),Christine L. Hodges,,Alleghany County,2855
VA,County,Mecklenburg County School Board,VA,Mecklenburg County,,Member School Board (DISTRICT 7),Dora W. Garner,,Mecklenburg County,621
VA,County,Halifax County Board of Supervisors,VA,Halifax County,,Tie Breaker - Board of Supervisors (HALIFAX COUNTY),"James ""Jimmy"" Wade",,Halifax County,4895
VA,County,,VA,Brunswick County,,Commonwealth's Attorney (BRUNSWICK COUNTY),Lezlie S. Green,,Brunswick County,3270
VA,County,King & Queen County Board of Supervisors,VA,King & Queen County,,Member Board of Supervisors (ST STEPHENS CHURCH DISTRICT),James Lawrence Simpkins,,King & Queen County,309
VA,County,Southampton County Board of Supervisors,VA,Southampton County,,Member Board of Supervisors (BERLIN-IVOR DISTRICT),Ronald M. West,,Southampton County,279
VA,County,,VA,Isle Of Wight County,,Commonwealth's Attorney (ISLE OF WIGHT COUNTY),Georgette C. Phillips,,Isle Of Wight County,5277
VA,County,Bath County School Board,VA,Bath County,,Member School Board (VALLEY SPRINGS DISTRICT),Catherine D. Lowry,,Bath County,279
VA,County,,VA,Isle Of Wight County,,Treasurer (ISLE OF WIGHT COUNTY),Judith C. Wells,,Isle Of Wight County,7844
VA,County,James City County School Board,VA,James City County,,Member School Board (ROBERTS DISTRICT),James W. Beers,,James City County,2011
VA,County,,VA,Pulaski County,,Commonwealth's Attorney (PULASKI COUNTY),K. Mike Fleenor Jr.,,Pulaski County,5608
VA,County,,VA,Grayson County,,Clerk of Court (GALAX CITY-GRAYSON COUNTY),Susan M. Herrington,,Grayson County,3082
VA,City,,VA,,Galax City,Commonwealth's Attorney (CARROLL COUNTY-GALAX CITY),Nathan H. Lyons,,Galax City,368
VA,County,Spotsylvania County Board of Supervisors,VA,Spotsylvania County,,Member Board of Supervisors (COURTLAND DISTRICT),David Ross,,Spotsylvania County,1935
VA,County,Middlesex County School Board,VA,Middlesex County,,Member School Board (JAMAICA DISTRICT),Elliott W. Reed,,Middlesex County,518
VA,County,Stafford County Board of Supervisors,VA,Stafford County,,Member Board of Supervisors (GRIFFIS-WIDEWATER),Jack R. Cavalier,,Stafford County,1399
VA,County,,VA,Charles City County,,Treasurer (CHARLES CITY COUNTY),Mindy W. Bradby,,Charles City County,2349
VA,County,Sussex County School Board,VA,Sussex County,,Member School Board (WAVERLY DISTRICT),Doris Coleman Hamlin ,,Sussex County,293
VA,County,Mecklenburg County Board of Supervisors,VA,Mecklenburg County,,Member Board of Supervisors (DISTRICT 2),"Glanzy M. Spain, Jr.",,Mecklenburg County,494
VA,County,,VA,Mecklenburg County,,Commonwealth's Attorney (MECKLENBURG COUNTY),Nora J. Miller,,Mecklenburg County,6039
VA,County,,VA,Hanover County,,Clerk of Court (HANOVER COUNTY),"Frank D. Hargrove, Jr.",,Hanover County,19192
VA,County,Warren County Board of Supervisors,VA,Warren County,,Member Board of Supervisors (NORTH RIVER DISTRICT),"Daniel Joseph Murray, Jr.",,Warren County,586
VA,County,Goochland County Board of Supervisors,VA,Goochland County,,Member Board of Supervisors (DISTRICT 2),Manuel Alvarez Jr.,,Goochland County,832
VA,County,Lunenburg County School Board,VA,Lunenburg County,,Member School Board (DISTRICT 6),Kathy P. Coffee,,Lunenburg County,218
VA,County,Accomack County Board of Supervisors,VA,Accomack County,,Member Board of Supervisors (DISTRICT 1),"W.J. ""Billy Joe"" Tarr",,Accomack County,708
VA,County,Tazewell County School Board,VA,Tazewell County,,Member School Board (EASTERN DISTRICT),"James H. ""Jimmy"" Jones",,Tazewell County,793
VA,County,,VA,Middlesex County,,Clerk of Court (MIDDLESEX COUNTY),Lynn Loving Dunlevy,,Middlesex County,2359
VA,County,,VA,Middlesex County,,Sheriff (MIDDLESEX COUNTY),David P. Bushey,,Middlesex County,2386
VA,County,Shenandoah County School Board,VA,Shenandoah County,,Member School Board (DISTRICT 3),Cyndy D. Walsh,,Shenandoah County,799
VA,County,,VA,Caroline County,,Clerk of Court (CAROLINE COUNTY),Susan W. Minarchi,,Caroline County,2294
VA,County,,VA,Brunswick County,,Commissioner of Revenue (BRUNSWICK COUNTY),Wanda Jones Beville,,Brunswick County,3314
VA,County,Fauquier County Board of Supervisors,VA,Fauquier County,,Member Board of Supervisors (SCOTT DISTRICT),"R. Holder Trumbo, Jr.",,Fauquier County,2426
VA,County,Amelia County School Board,VA,Amelia County,,Member School Board (DISTRICT 3),Michael D. Neller,,Amelia County,548
VA,County,Orange County Board of Supervisors,VA,Orange County,,Member Board of Supervisors (DISTRICT FIVE),"Lee H. Frame, Jr.",,Orange County,1543
VA,County,,VA,Wythe County,,Clerk of Court (WYTHE COUNTY),Hayden H. Horney,,Wythe County,5435
VA,County,,VA,Tazewell County,,Commonwealth's Attorney (TAZEWELL COUNTY),Michael Lee Dennis,,Tazewell County,5348
VA,County,Culpeper County School Board,VA,Culpeper County,,Member School Board (SALEM DISTRICT),Anne C. Luckinbill,,Culpeper County,1610
VA,County,,VA,Orange County,,Sheriff (ORANGE COUNTY),Mark A. Amos,,Orange County,4781
VA,County,,VA,Arlington County,,Sheriff (ARLINGTON COUNTY),"Elizabeth F. ""Beth"" Arthur",,Arlington County,30446
VA,County,Rappahannock County School Board,VA,Rappahannock County,,Member School Board (WAKEFIELD DISTRICT),"William ""Chris"" Ubben",,Rappahannock County,427
VA,County,Essex County School Board,VA,Essex County,,Member School Board (CENTRAL DISTRICT),Jacob A. Plummer,,Essex County,470
VA,County,Henry County School Board,VA,Henry County,,Member School Board At Large (HENRY COUNTY),Joe A. DeVault,,Henry County,9518
VA,County,Augusta County Board of Supervisors,VA,Augusta County,,Member Board of Supervisors - 2 Year Term (PASTURES DISTRICT),"Tracy C. Pyles, Jr.",,Augusta County,1279
VA,County,,VA,Greene County,,Clerk of Court (GREENE COUNTY),Brenda M. Compton,,Greene County,1678
VA,County,Goochland County School Board,VA,Goochland County,,Member School Board (DISTRICT 3),John L. Lumpkins Jr.,,Goochland County,695
VA,County,King & Queen County Board of Supervisors,VA,King & Queen County,,Member Board of Supervisors (STEVENSVILLE DISTRICT),Doris H. Morris,,King & Queen County,373
VA,County,York County Board of Supervisors,VA,York County,,Member Board of Supervisors (DISTRICT 1),Walt C. Zaremba,,York County,1999
VA,County,Chesterfield County Board of Supervisors,VA,Chesterfield County,,Member Board of Supervisors (MIDLOTHIAN DISTRICT),Leslie A. T. Haley,,Chesterfield County,9228
VA,County,Westmoreland County Board of Supervisors,VA,Westmoreland County,,Member Board of Supervisors (DISTRICT 4),W. W. Hynson,,Westmoreland County,326
VA,County,Dickenson County School Board,VA,Dickenson County,,Member School Board (DISTRICT I),Lurton B. Lyle,,Dickenson County,871
VA,County,,VA,Roanoke County,,Commissioner of Revenue (ROANOKE COUNTY),Nancy J. Horn,,Roanoke County,20467
VA,County,,VA,Surry County,,Soil and Water Conservation Director Peanut District (SURRY COUNTY),E. Keith Seward,,Surry County,2032
VA,County,,VA,Washington County,,Sheriff (WASHINGTON COUNTY),Fred P. Newman,,Washington County,7111
VA,County,Patrick County Board of Supervisors,VA,Patrick County,,Member Board of Supervisors (BLUE RIDGE DISTRICT),Karl Von Weiss,,Patrick County,608
VA,County,Grayson County School Board,VA,Grayson County,,Member School Board (OLDTOWN DISTRICT),Diane M. Haynes,,Grayson County,799
VA,County,,VA,Fluvanna County,,Commonwealth's Attorney (FLUVANNA COUNTY),Jeffrey W. Haislip,,Fluvanna County,4112
VA,County,,VA,Smyth County,,Treasurer (SMYTH COUNTY),Thomas W. Burkett II,,Smyth County,6186
VA,County,,VA,Essex County,,Commonwealth's Attorney (ESSEX COUNTY),Vince S. Donoghue,,Essex County,1690
VA,County,Lancaster County Board of Supervisors,VA,Lancaster County,,Member Board of Supervisors (DISTRICT 3),Jason D. Bellows,,Lancaster County,866
VA,City,,VA,,Winchester City,Commonwealth's Attorney - Special (WINCHESTER CITY),Marc H. Abrams,,Winchester City,2810
VA,County,,VA,Russell County,,Sheriff (RUSSELL COUNTY),Steven L. Dye,,Russell County,4322
VA,County,Clarke County Board of Supervisors,VA,Clarke County,,Member Board of Supervisors (BERRYVILLE DISTRICT),Mary Costello Daniel,,Clarke County,349
VA,County,,VA,Madison County,,Commissioner of Revenue (MADISON COUNTY),Brian L. Daniel,,Madison County,1885
VA,County,Floyd County Board of Supervisors,VA,Floyd County,,Member Board of Supervisors (DISTRICT B),Linda DeVito Kuchenbuch,,Floyd County,532
VA,County,Craig County School Board,VA,Craig County,,Member School Board (CRAIG CREEK DISTRICT),Susan M. Crenshaw,,Craig County,225
VA,County,,VA,Goochland County,,Commissioner of Revenue (GOOCHLAND COUNTY),Jennifer N. Brown,,Goochland County,3245
VA,County,Hanover County Board of Supervisors,VA,Hanover County,,Member Board of Supervisors (MECHANICSVILLE DISTRICT),W. Canova Peterson,,Hanover County,1519
VA,County,Mecklenburg County Board of Supervisors,VA,Mecklenburg County,,Member Board of Supervisors (DISTRICT 9),Gregg V. Gordon,,Mecklenburg County,818
VA,County,,VA,Greensville County,,Commissioner of Revenue (GREENSVILLE COUNTY),Martha S. Swenson,,Greensville County,2641
VA,County,Russell County Board of Supervisors,VA,Russell County,,Member Board of Supervisors (DISTRICT 4),"David R.""Peanut"" Eaton",,Russell County,734
VA,County,,VA,King William County,,Treasurer (KING WILLIAM COUNTY),Harry L. Whitt,,King William County,3553
VA,County,Northampton County School Board,VA,Northampton County,,Member School Board (DISTRICT 5),"William J. ""Skip"" Oakley",,Northampton County,639
VA,County,Nelson County School Board,VA,Nelson County,,Member School Board (SOUTH DISTRICT),Ceaser N. Perkins,,Nelson County,307
VA,County,,VA,Dickenson County,,Commonwealth's Attorney (DICKENSON COUNTY),C. Seth Baker,,Dickenson County,3472
VA,County,Surry County Board of Supervisors,VA,Surry County,,Member Board of Supervisors (CLAREMONT DISTRICT),"Giron R. Wooden, Sr.",,Surry County,465
VA,County,Caroline County Board of Supervisors,VA,Caroline County,,Member Board of Supervisors (WESTERN CAROLINE DISTRICT),Jeffrey S. Black,,Caroline County,803
VA,County,,VA,Middlesex County,,Soil and Water Conservation Director Tidewater District (MIDDLESEX COUNTY),Jason R. Bray,,Middlesex County,2199
VA,County,,VA,York County,,Commonwealth's Attorney (POQUOSON CITY-YORK COUNTY),"Benjamin M. ""Ben"" Hahn",,York County,11024
VA,County,,VA,Surry County,,Sheriff (SURRY COUNTY),Carlos L. Turner,,Surry County,1346
VA,County,Shenandoah County School Board,VA,Shenandoah County,,Member School Board (DISTRICT 6),Sonya L. Williams-Giersch,,Shenandoah County,838
VA,County,,VA,Westmoreland County,,Commissioner of Revenue (WESTMORELAND COUNTY),Carol B. Gawen,,Westmoreland County,2992
VA,County,,VA,Pulaski County,,Treasurer (PULASKI COUNTY),Melinda L. Worrell,,Pulaski County,4231
VA,County,Accomack County Board of Supervisors,VA,Accomack County,,Member Board of Supervisors (DISTRICT 6),Robert D. Crockett,,Accomack County,637
VA,City,,VA,,Lexington City,Commonwealth's Attorney (LEXINGTON CITY-ROCKBRIDGE COUNTY),Joshua O. Elrod,,Lexington City,741
VA,County,Goochland County Board of Supervisors,VA,Goochland County,,Member Board of Supervisors (DISTRICT 5),Ken C. Peterson,,Goochland County,1201
VA,County,,VA,York County,,Sheriff (POQUOSON CITY-YORK COUNTY),"J. D. ""Danny"" Diggs",,York County,11641
VA,County,New Kent County School Board,VA,New Kent County,,Member School Board (DISTRICT 2),Write In,,New Kent County,360
VA,County,Grayson County School Board,VA,Grayson County,,Member School Board At Large (GRAYSON COUNTY),"Tim L. ""T.T."" Carico",,Grayson County,1790
VA,County,Culpeper County Board of Supervisors,VA,Culpeper County,,Member Board of Supervisors (SALEM DISTRICT),Alexa V. Fritz,,Culpeper County,1621
VA,County,,VA,Lancaster County,,Treasurer (LANCASTER COUNTY),Bonnie J. D. Haynie,,Lancaster County,3968
VA,County,Page County School Board,VA,Page County,,Member School Board (DISTRICT 4),Shawn D. Printz,,Page County,906
VA,County,,VA,Bland County,,Clerk of Court (BLAND COUNTY),Rebecca I. Johnson,,Bland County,1780
VA,County,,VA,Fairfax County,,Public Safety Facilities Bonds (FAIRFAX COUNTY),Yes,,Fairfax County,138471
VA,County,Accomack County Board of Supervisors,VA,Accomack County,,Member Board of Supervisors (DISTRICT 5),Harrison W. Phillips III,,Accomack County,340
VA,County,Chesterfield County Board of Supervisors,VA,Chesterfield County,,Member Board of Supervisors (MATOACA DISTRICT),Steve A. Elswick,,Chesterfield County,11624
VA,County,,VA,Wise County,,Sheriff (NORTON CITY-WISE COUNTY),"R. D. ""Ronnie"" Oakes",,Wise County,5703
VA,County,Amelia County Board of Supervisors,VA,Amelia County,,Member Board of Supervisors (DISTRICT 4),Carroll E. Barnard,,Amelia County,760
VA,County,,VA,Bland County,,Treasurer (BLAND COUNTY),John F. Goins,,Bland County,1864
VA,County,,VA,Craig County,,Sheriff (CRAIG COUNTY),L. Trevor N. Craddock,,Craig County,1287
VA,County,Augusta County School Board,VA,Augusta County,,Member School Board (NORTH RIVER DISTRICT),Nicholas T. Collins,,Augusta County,2519
VA,County,Charles City County School Board,VA,Charles City County,,Member School Board (DISTRICT THREE),"Martha ""Mag"" Harris",,Charles City County,757
VA,County,Charlotte County School Board,VA,Charlotte County,,Member School Board (DRAKES BRANCH DISTRICT),Gloria Talbott,,Charlotte County,218
VA,County,,VA,Dickenson County,,Clerk of Court (DICKENSON COUNTY),Richard W. Edwards,,Dickenson County,3446
VA,County,Buckingham County Board of Supervisors,VA,Buckingham County,,Member Board of Supervisors (DISTRICT 5),Harry W. Bryant,,Buckingham County,211
VA,County,,VA,Campbell County,,Soil and Water Conservation Director Robert E. Lee District (CAMPBELL COUNTY),Carolyn J. Hutcherson,,Campbell County,3828
VA,County,,VA,Madison County,,Clerk of Court (MADISON COUNTY),Leeta D. Louk,,Madison County,2470
VA,County,Southampton County Board of Supervisors,VA,Southampton County,,Member Board of Supervisors (DREWRYVILLE DISTRICT),Dallas O. Jones,,Southampton County,123
VA,County,,VA,Pittsylvania County,,Treasurer (PITTSYLVANIA COUNTY),Vincent E. Shorter,,Pittsylvania County,6793
VA,County,Mecklenburg County Board of Supervisors,VA,Mecklenburg County,,Member Board of Supervisors (DISTRICT 5),Glenn E. Barbour,,Mecklenburg County,664
VA,County,Prince William County Board of Supervisors,VA,Prince William County,,Member Board of Supervisors (NEABSCO DISTRICT),John D. Jenkins,,Prince William County,6787
VA,City,,VA,,Manassas City,Commonwealth's Attorney (MANASSAS CITY-MANASSAS PARK CITY-PRINCE WILLIAM COUNTY),Paul B. Ebert,,Manassas City,3987
VA,County,New Kent County Board of Supervisors,VA,New Kent County,,Member Board of Supervisors (DISTRICT 2),"C. Thomas""Tommy"" Tiller, Jr.",,New Kent County,1145
VA,County,Appomattox County Board of Supervisors,VA,Appomattox County,,Member Board of Supervisors (FALLING RIVER DISTRICT),Chad E. Millner,,Appomattox County,285
VA,City,,VA,,Buena Vista City,Member City Council (BUENA VISTA CITY),Steven K. Baldridge,,Buena Vista City,544
VA,County,Madison County Board of Supervisors,VA,Madison County,,Member Board of Supervisors At Large (MADISON COUNTY DISTRICT),Jonathon R. Weakley,,Madison County,1624
VA,County,,VA,Appomattox County,,Commissioner of Revenue (APPOMATTOX COUNTY),Sara R. Henderson,,Appomattox County,1726
VA,County,,VA,Bland County,,Soil and Water Conservation Director Big Walker District (BLAND COUNTY),Gary G. Johnson,,Bland County,1190
VA,County,Northumberland County Board of Supervisors,VA,Northumberland County,,Member Board of Supervisors (DISTRICT 4),"Thomas H. ""Tommy"" Tomlin",,Northumberland County,792
VA,County,,VA,Montgomery County,,Commissioner of Revenue (MONTGOMERY COUNTY),Helen Poff Royal,,Montgomery County,9814
VA,County,Prince William County Board of Supervisors,VA,Prince William County,,Member Board of Supervisors (POTOMAC DISTRICT),Maureen S. Caddigan,,Prince William County,4991
VA,County,,VA,Wise County,,Clerk of Court (NORTON CITY-WISE COUNTY),"J. Jack Kennedy, Jr.",,Wise County,3826
VA,City,,VA,,Fairfax City,Sheriff (FAIRFAX CITY-FAIRFAX COUNTY),Stacey Ann Kincaid,,Fairfax City,2675
VA,County,Orange County School Board,VA,Orange County,,Member School Board (DISTRICT FIVE),Jim E. Hopkins,,Orange County,1468
VA,City,Alexandria City School Board,VA,,Alexandria City,School Board District B (DISTRICT B),Veronica R. Nolan,,Alexandria City,5986
VA,County,,VA,Charles City County,,Sheriff (CHARLES CITY COUNTY),Alan M. Jones Sr.,,Charles City County,1187
VA,County,Powhatan County School Board,VA,Powhatan County,,Member School Board (DISTRICT 5),Kim M. Drew Hymel,,Powhatan County,1390
VA,County,Charles City County School Board,VA,Charles City County,,Member School Board at Large (CHARLES CITY COUNTY),Elvis Preston Adkins,,Charles City County,1886
VA,County,,VA,Richmond County,,Soil and Water Conservation Director Northern Neck District (RICHMOND COUNTY),J. Vince Garland IV,,Richmond County,1264
VA,County,Chesterfield County School Board,VA,Chesterfield County,,Member School Board (CLOVER HILL DISTRICT),Dianne H. Smith,,Chesterfield County,12034
VA,County,Pittsylvania County Board of Supervisors,VA,Pittsylvania County,,Member Board of Supervisors (STAUNTON RIVER DISTRICT),"Elton W. Blackstock, Jr.",,Pittsylvania County,996
VA,County,Westmoreland County School Board,VA,Westmoreland County,,Member School Board (DISTRICT 3),J. Ralph Fallin,,Westmoreland County,482
VA,County,Tazewell County Board of Supervisors,VA,Tazewell County,,Member Board of Supervisors (NORTHWESTERN DISTRICT),T. Travis Hackworth,,Tazewell County,1223
VA,County,Pulaski County School Board,VA,Pulaski County,,Member School Board (DRAPER DISTRICT),Timothy C. Hurst,,Pulaski County,1150
VA,County,,VA,Nelson County,,Soil and Water Conservation Director Thomas Jefferson District (NELSON COUNTY),David L. Collins,,Nelson County,3315
VA,City,,VA,,Williamsburg City,Treasurer (JAMES CITY COUNTY-WILLIAMSBURG CITY),Jennifer Otey Tomes,,Williamsburg City,2298
VA,County,,VA,Charlotte County,,Commonwealth's Attorney (CHARLOTTE COUNTY),"William E. Green, Jr.",,Charlotte County,1604
VA,County,Scott County School Board,VA,Scott County,,Member School Board (DISTRICT 2),"L. Steve Sallee, Jr.",,Scott County,935
VA,County,Bath County Board of Supervisors,VA,Bath County,,Member Board of Supervisors (MILLBORO DISTRICT),Eddy T. Hicklin,,Bath County,288
VA,County,Wise County School Board,VA,Wise County,,Member School Board - Special (DISTRICT ONE),"Herbert W. ""Herb"" Shortt",,Wise County,1072
VA,County,,VA,Accomack County,,Commissioner of Revenue (ACCOMACK COUNTY),Leslie Mears Savage,,Accomack County,6131
VA,County,Grayson County Board of Supervisors,VA,Grayson County,,Member Board of Supervisors (OLDTOWN DISTRICT),Kenneth R. Belton,,Grayson County,646
VA,County,New Kent County School Board,VA,New Kent County,,Member School Board (DISTRICT 3),Write In,,New Kent County,483
VA,County,Henrico County School Board,VA,Henrico County,,Member School Board (THREE CHOPT DISTRICT),"Michelle F. ""Micky"" Ogburn",,Henrico County,10498
VA,County,Fauquier County School Board,VA,Fauquier County,,Member School Board (SCOTT DISTRICT),Suzanne M. Sloane,,Fauquier County,1594
VA,County,,VA,Lunenburg County,,Commonwealth's Attorney (LUNENBURG COUNTY),Robert E. Clement,,Lunenburg County,1719
VA,County,Nottoway County School Board,VA,Nottoway County,,Member School Board (DISTRICT 4),Jacqueline Gray Hawkes,,Nottoway County,357
VA,City,,VA,,Lexington City,Soil and Water Conservation Director Natural Bridge District (LEXINGTON CITY),"Katherine ""Kip"" Brooks",,Lexington City,711
VA,County,King & Queen County School Board,VA,King & Queen County,,Member School Board (NEWTOWN DISTRICT),Celestine Pollard Gaines,,King & Queen County,246
VA,County,Amelia County School Board,VA,Amelia County,,Member School Board (DISTRICT 4),Ann M. Salster,,Amelia County,697
VA,County,Nottoway County Board of Supervisors,VA,Nottoway County,,Member Board of Supervisors (DISTRICT 1),Steve W. Bowen,,Nottoway County,620
VA,County,,VA,Shenandoah County,,Commonwealth's Attorney (SHENANDOAH COUNTY),Amanda McDonald Wiseley,,Shenandoah County,5178
VA,City,,VA,,Covington City,Sheriff (ALLEGHANY COUNTY-COVINGTON CITY),Kevin W. Hall,,Covington City,747
VA,County,,VA,Gloucester County,,Commonwealth's Attorney (GLOUCESTER COUNTY),Holly B. Smith,,Gloucester County,6091
VA,City,,VA,,Charlottesville City,Soil and Water Conservation Director Thomas Jefferson District (CHARLOTTESVILLE CITY),William H. Lucy,,Charlottesville City,3224
VA,County,Alleghany County Board of Supervisors,VA,Alleghany County,,Member Board of Supervisors (BOILING SPRINGS DISTRICT),Shannon Paxton Cox,,Alleghany County,401
VA,County,Goochland County Board of Supervisors,VA,Goochland County,,Member Board of Supervisors (DISTRICT 1),Susan F. Lascolette,,Goochland County,757
VA,County,Nelson County Board of Supervisors,VA,Nelson County,,Member Board of Supervisors (SOUTH DISTRICT),Larry D. Saunders,,Nelson County,535
VA,County,Carroll County School Board,VA,Carroll County,,Member School Board (PINE CREEK DISTRICT),Olen Lee Gallimore,,Carroll County,1287
VA,County,Lunenburg County Board of Supervisors,VA,Lunenburg County,,Member Board of Supervisors (DISTRICT 4),"C. R. ""Randy"" Slayton",,Lunenburg County,226
VA,County,Frederick County School Board,VA,Frederick County,,Member School Board At Large (FREDERICK COUNTY),John J. Lamanna,,Frederick County,11356
VA,County,,VA,Pulaski County,,Soil and Water Conservation Director Skyline District (PULASKI COUNTY),George W. Hudson,,Pulaski County,4472
VA,County,Henrico County School Board,VA,Henrico County,,Member School Board (FAIRFIELD DISTRICT),Roscoe D. Cooper III,,Henrico County,5095
VA,County,Bedford County Board of Supervisors,VA,Bedford County,,Member Board of Supervisors (DISTRICT 7),Kevin S. Willis,,Bedford County,1754
VA,County,Pulaski County Board of Supervisors,VA,Pulaski County,,Member Board of Supervisors (INGLES DISTRICT),Ranny E. O'Dell,,Pulaski County,968
VA,County,,VA,Fluvanna County,,Treasurer (FLUVANNA COUNTY),Linda H. Lenherr,,Fluvanna County,4132
VA,County,Washington County Board of Supervisors,VA,Washington County,,Member Board of Supervisors (DISTRICT D),"J. Eddie Copenhaver, Jr.",,Washington County,875
VA,County,Powhatan County Board of Supervisors,VA,Powhatan County,,Member Board of Supervisors (DISTRICT 1),David T. Williams,,Powhatan County,1342
VA,City,Manassas City School Board,VA,,Manassas City,Member School Board - Special (MANASSAS CITY),Kristen M. Kiefer,,Manassas City,5626
VA,County,,VA,Grayson County,,Treasurer (GRAYSON COUNTY),R. Kelly Haga,,Grayson County,2908
VA,County,,VA,Arlington County,,Commissioner of Revenue (ARLINGTON COUNTY),Ingrid H. Morroy,,Arlington County,29836
VA,County,Lunenburg County Board of Supervisors,VA,Lunenburg County,,Member Board of Supervisors (DISTRICT 2),David E. Wingold Sr.,,Lunenburg County,224
VA,County,,VA,Henrico County,,Clerk of Court (HENRICO COUNTY),Heidi S. Barshinger,,Henrico County,32933
VA,County,,VA,Roanoke County,,Soil and Water Conservation Director Blue Ridge District (ROANOKE COUNTY),"N. H. ""Nick"" Beasley",,Roanoke County,15457
VA,County,,VA,Gloucester County,,Sheriff (GLOUCESTER COUNTY),"Darrell W. Warren, Jr.",,Gloucester County,6091
VA,County,Warren County School Board,VA,Warren County,,Member School Board (SOUTH RIVER DISTRICT),Donna L. McEathron,,Warren County,784
VA,County,Prince George County School Board,VA,Prince George County,,Member School Board (DISTRICT 2),Kevin S. Foster,,Prince George County,2077
VA,County,Rockingham County Board of Supervisors,VA,Rockingham County,,Member Board of Supervisors (DISTRICT 5),Mike A. Breeden,,Rockingham County,1211
VA,County,Buchanan County Board of Supervisors,VA,Buchanan County,,Member Board of Supervisors (GARDEN DISTRICT),"H. H. ""Buddy"" Fuller, Jr.",,Buchanan County,514
VA,County,Stafford County School Board,VA,Stafford County,,Member School Board (ROCK HILL DISTRICT),Patricia A. Healy,,Stafford County,2466
VA,County,Greene County Board of Supervisors,VA,Greene County,,Member Board of Supervisors At Large (GREENE COUNTY),Dale R. Herring,,Greene County,2723
VA,County,,VA,Patrick County,,Soil and Water Conservation Director Patrick District (PATRICK COUNTY),E. Wayne Clark,,Patrick County,2562
VA,County,,VA,Craig County,,Clerk of Court (CRAIG COUNTY),Sharon P. Oliver,,Craig County,1853
VA,County,Scott County School Board,VA,Scott County,,Member School Board (DISTRICT 6),Larry L. Horton,,Scott County,769
VA,County,,VA,Buckingham County,,Clerk of Court (BUCKINGHAM COUNTY),"Malcolm A. Booker, Jr.",,Buckingham County,2391
VA,County,,VA,Frederick County,,Sheriff (FREDERICK COUNTY),"L. W. ""Lenny"" Millholland",,Frederick County,6241
VA,County,,VA,Russell County,,Clerk of Court (RUSSELL COUNTY),P. Ann Sword McReynolds,,Russell County,4405
VA,County,,VA,Sussex County,,Treasurer (SUSSEX COUNTY),Onnie L. Woodruff ,,Sussex County,2578
VA,City,,VA,,Suffolk City,Commissioner of Revenue - Special (SUFFOLK CITY),Susan L. Draper,,Suffolk City,6768
VA,County,,VA,Goochland County,,Sheriff (GOOCHLAND COUNTY),James L. Agnew,,Goochland County,4635
VA,County,,VA,Hanover County,,Soil and Water Conservation Director Hanover-Caroline District (HANOVER COUNTY),W. Bruce Cauthorn,,Hanover County,13190
VA,County,,VA,Clarke County,,Sheriff (CLARKE COUNTY),"Anthony W. ""Tony"" Roper",,Clarke County,3208
VA,City,,VA,,Chesapeake City,Soil and Water Conservation Director Virginia Dare District (CHESAPEAKE CITY),Vickie J. Greene,,Chesapeake City,5565
VA,County,,VA,Prince George County,,Sheriff (PRINCE GEORGE COUNTY),"H. E. ""Bucky"" Allin III",,Prince George County,5994
VA,County,,VA,York County,,Clerk of Court (POQUOSON CITY-YORK COUNTY),Kristen N. Nelson,,York County,8623
VA,County,Carroll County Board of Supervisors,VA,Carroll County,,Member Board of Supervisors At Large (CARROLL COUNTY),"Robert L. ""Robbie"" McCraw",,Carroll County,5984
